ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
9.95749, -0.01915, -0.26097, 0.00413, 0.04543, 0.01545, 32.63028
10.00058, -0.02634, -0.27294, 0.00546, 0.01839, 0.01745, 32.72612
9.94551, 0.00239, -0.27294, 0.00493, 0.02491, 0.01759, 32.58235
10.00537, -0.00958, -0.28730, 0.00107, 0.01146, 0.01639, 32.72612
9.95988, -0.01676, -0.31603, -0.00173, 0.03371, 0.01785, 32.58235
9.95749, -0.00239, -0.24900, 0.00453, 0.04570, 0.01985, 32.72612
9.98861, -0.04788, -0.26336, 0.00506, 0.04636, 0.01279, 32.53443
9.98622, -0.01437, -0.17957, -0.00040, 0.02625, 0.01905, 32.58235
10.02213, -0.02155, -0.21308, 0.00320, 0.04703, 0.01452, 32.72612
9.97185, -0.01915, -0.27294, 0.00200, -0.00173, 0.01759, 32.58235
9.94073, -0.05507, -0.18675, 0.00133, -0.00266, 0.01705, 32.53443
9.97903, -0.02155, -0.22984, 0.00293, 0.04703, 0.01412, 32.72612
9.98861, -0.02394, -0.21308, 0.00080, 0.02198, 0.01972, 32.63028
9.97664, 0.00958, -0.18435, 0.00133, 0.02105, 0.01346, 32.72612
9.96946, -0.02155, -0.27294, -0.00053, 0.00666, 0.01692, 32.58235
9.96227, -0.03112, -0.32322, 0.00067, 0.04796, 0.01226, 32.91781
10.01495, -0.05986, -0.24660, 0.00080, 0.03970, 0.01772, 32.72612
9.97424, -0.04310, -0.27533, 0.00560, 0.03584, 0.01372, 32.72612
